T_max,disp_max,sigma_vm_max,J_in,h_conv,mat_left,mat_right
300.1774289386994,6.358841783269378e-08,41039.508545887526,1000000.0,5,Al,Al
300.09569872197386,4.284300705060265e-08,27103.944983828085,1000000.0,5,Al,Cu
300.57841915762526,3.1178208420981254e-07,493786.58835814346,1000000.0,5,Al,Fe
300.4327199527772,2.2093948210794029e-07,349332.2627338787,1000000.0,5,Al,Ni
300.0956991678128,4.283710710693223e-08,22699.683800176947,1000000.0,5,Cu,Al
300.0535729366664,1.3699116255503991e-08,14207.403779240809,1000000.0,5,Cu,Cu
300.3154788033032,9.047784566534477e-08,122033.55075213932,1000000.0,5,Cu,Fe
300.23212504461503,6.257867045428071e-08,83297.6882802576,1000000.0,5,Cu,Ni
300.5784161051932,3.11731324941906e-07,401648.9009243943,1000000.0,5,Fe,Al
300.3154754140436,9.046324365005041e-08,98473.48899173025,1000000.0,5,Fe,Cu
301.5377388995823,2.695181175523445e-07,469190.1107971546,1000000.0,5,Fe,Fe
301.2444916647484,2.3914107506424585e-07,419785.3824196279,1000000.0,5,Fe,Ni
300.4327180096447,2.2090396468387733e-07,283775.2389649597,1000000.0,5,Ni,Al
300.23212274738535,6.256926446782081e-08,74359.10425640494,1000000.0,5,Ni,Cu
301.24449406101314,2.391659191482611e-07,394057.0719310225,1000000.0,5,Ni,Fe
300.97806458864903,1.8711727819195391e-07,343260.3840985661,1000000.0,5,Ni,Ni
300.1763004174877,6.321505476188803e-08,40839.18257817839,1000000.0,10,Al,Al
300.09528380778625,4.2679981427013713e-08,26987.13422530389,1000000.0,10,Al,Cu
300.573072337109,3.092057762349907e-07,489285.00981655536,1000000.0,10,Al,Fe
300.4288642675914,2.1918270350730343e-07,346258.68657824356,1000000.0,10,Al,Ni
300.0952841925264,4.267410530572394e-08,22626.84488384003,1000000.0,10,Cu,Al
300.05340196154174,1.3658749807932817e-08,14172.579648388653,1000000.0,10,Cu,Cu
300.31371715158195,9.002005123683455e-08,121363.88480616425,1000000.0,10,Cu,Fe
300.2308619473975,6.227079152364704e-08,82982.5749807576,1000000.0,10,Cu,Ni
300.5730694255197,3.0915544531358387e-07,397986.9905861122,1000000.0,10,Fe,Al
300.3137140836295,9.0005520551404e-08,97932.16799217438,1000000.0,10,Fe,Cu
301.5137305781542,2.6563363943872124e-07,463578.09264020686,1000000.0,10,Fe,Fe
301.22602753977145,2.358910143487224e-07,415029.7630680311,1000000.0,10,Fe,Ni
300.4288624138678,2.1914747558497252e-07,281278.08347366273,1000000.0,10,Ni,Al
300.23086000754074,6.226143023832997e-08,74077.00320057818,1000000.0,10,Ni,Cu
301.22602947550536,2.3591550530570947e-07,389631.2408641619,1000000.0,10,Ni,Fe
300.9644465084828,1.8471199379554038e-07,339596.98575153755,1000000.0,10,Ni,Ni
300.17192318686915,6.176580894806864e-08,40061.21945386639,1000000.0,30,Al,Al
300.0936594858734,4.2040883966888716e-08,26529.312915626106,1000000.0,30,Al,Cu
300.55262812910405,2.993307159881065e-07,472038.3710345299,1000000.0,30,Al,Fe
300.4140956841597,2.1243900671373567e-07,334465.40422117995,1000000.0,30,Al,Ni
300.0936597676354,4.203510128204605e-08,22341.214002835946,1000000.0,30,Cu,Al
300.0527285893981,1.349971145297744e-08,14035.344124136302,1000000.0,30,Cu,Cu
300.30686776667875,8.823504288894197e-08,118753.40135409657,1000000.0,30,Cu,Fe
300.22594583529605,6.10696250441478e-08,81752.47737584719,1000000.0,30,Cu,Ni
300.5526262351697,2.992820264847785e-07,383957.3042336604,1000000.0,30,Fe,Al
